board_id,board_url,style,category
920634417515652133,https://www.pinterest.com/imbervintage/y2k-aesthetic/,Y2K,all
1077134504567723807,https://www.pinterest.com/knee1uh/y2k-tops/,Y2K,top
706291222751762721,https://www.pinterest.com/caamillabtw/2000s-tops/,Y2K,top
591801275974864937,https://www.pinterest.com/myswagcanneverberepliacated/2000s-tops/,Y2K,top
920634417516837921,https://www.pinterest.com/imbervintage/june-2025-y2k-pants/,Y2K,bottom
1009580510156743361,https://www.pinterest.com/Jazel_shifting777/2000-pants/,Y2K,bottom
591167957276892024,https://www.pinterest.com/lmehir_/y2k-shoes-3/,Y2K,shoe
868561546825098207,https://www.pinterest.com/stickman_wear/y2k-shoes/,Y2K,shoe
1038502064014509953,https://www.pinterest.com/jorachaela/y2k-shoes/,Y2K,shoe
501940389659213086,https://www.pinterest.com/Daniquintana13/y2k-shoes/,Y2K,shoe
976084987928852987,https://www.pinterest.com/itsbernicenotbeatrice/y2k-shoes/,Y2K,shoe
903675618888324948,https://www.pinterest.com/socoamaretolime/y2k-jackets/,Y2K,outerwear
1097259965402996809,https://www.pinterest.com/socoamaretolime/y2k-jackets/,Y2K,outerwear
1077627085776494188,https://www.pinterest.com/snowyfurryyy/y2k-jackets~~~/,Y2K,outerwear
910571687099777215,https://www.pinterest.com/D0LL_IN4ECT3D/2000s-jackets/,Y2K,outerwear
920634417516837845,https://www.pinterest.com/imbervintage/june-2025-y2k-dresses/,Y2K,one_piece
417075684181008693,https://www.pinterest.com/ginntoe/y2k-dresses/,Y2K,one_piece
775604435766927024,https://www.pinterest.com/avabeeisnow/90s-2000s-formal-dresses/,Y2K,one_piece
423549608645386139,https://www.pinterest.com/girmseyiii/y2k-accessoriesjewelry/,Y2K,accessory
164100048861722567,https://www.pinterest.com/sqkev/y2k-accessories/,Y2K,accessory
